Date,Away_Team,Home_Team,Game_Status,Away_Win_Prob,Home_Win_Prob,Away_Proj_Runs,Home_Proj_Runs,Proj_Total,Pinnacle_Away_ML,Pinnacle_Home_ML,Pinnacle_Total_Line,Away_EV,Away_Kelly,Home_EV,Home_Kelly,Over_EV,Over_Kelly,Under_EV,Under_Kelly,Actual_Away_Runs,Actual_Home_Runs,Actual_Total,Lineups_Confirmed
2026-09-15,SFG,STL,Final,36.1,63.9,3.66,4.57,8.2,155,-170,8.0,-7.9,,1.5,,-0.3,,-4.5,,10,3,13,N/A
2026-09-16,ATL,CHC,Final,38.3,61.7,4.49,5.33,9.8,145,-158,7.5,-6.2,,0.8,,50.7,,-55.1,,4,8,12,N/A
2026-09-16,BAL,NYM,Final,47.8,52.2,4.19,4.34,8.5,101,-109,9.0,-3.9,,0.1,,-20.1,,16.1,,7,1,8,N/A
2026-09-16,BOS,TEX,Final,61.3,38.7,4.45,3.73,8.2,-107,-101,8.0,18.6,,-23.0,,-2.6,,-2.3,,3,7,10,N/A
2026-09-16,CHW,CLE,Final,42.6,57.4,3.71,4.16,7.9,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,3,6,9,N/A
2026-09-16,DET,TOR,Final,69.5,30.5,4.91,3.6,8.5,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,1,5,6,N/A
2026-09-16,KCR,HOU,Final,52.0,48.0,4.52,4.36,8.9,145,-158,9.0,27.4,,-21.6,,-7.2,,1.8,,5,2,7,N/A
2026-09-16,LAD,CIN,Final,79.9,20.1,5.89,3.66,9.5,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,2,6,8,N/A
2026-09-16,MIA,ARI,Final,55.2,44.8,4.7,4.37,9.1,119,-129,9.0,20.9,,-20.5,,-2.9,,-1.9,,4,3,7,N/A
2026-09-16,MIL,PIT,Final,69.1,30.9,4.87,3.63,8.5,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,5,4,9,N/A
2026-09-16,NYY,MIN,Final,66.5,33.5,5.07,3.95,9.0,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,4,5,9,N/A
2026-09-16,OAK,TBR,Final,27.9,72.1,3.38,4.84,8.2,,,,,,,,,,,,3,4,7,N/A
2026-09-16,PHI,WSN,Final,57.5,42.5,4.89,4.37,9.3,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,3,0,3,N/A
2026-09-16,SDP,COL,Final,54.6,45.4,6.19,5.79,12.0,-164,151,11.0,-12.1,,14.0,,19.0,,-22.5,,9,3,12,N/A
2026-09-16,SEA,LAA,Final,51.2,48.8,4.23,4.16,8.4,-123,113,8.0,-7.2,,3.9,,5.0,,-9.7,,7,2,9,N/A
2026-09-16,SFG,STL,Final,50.8,49.2,4.57,4.52,9.1,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,6,5,11,N/A
2026-09-17,BOS,TEX,Final,65.9,34.1,4.23,3.29,7.5,-118,109,8.0,21.7,,-28.7,,-18.6,,13.1,,4,3,7,N/A
2026-09-17,DET,CHW,Final,49.6,50.4,4.54,4.56,9.1,102,-111,8.5,0.2,,-4.2,,12.4,,-17.1,,1,3,4,N/A
2026-09-17,KCR,HOU,Final,38.6,61.4,4.21,4.95,9.2,130,-141,9.0,-11.2,,4.9,,1.3,,-5.9,,2,6,8,N/A
2026-09-17,LAD,CIN,Final,80.2,19.8,6.34,3.92,10.3,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,8,2,10,N/A
